,azimuth_angle_bins,max_elevation_angles (deg),radial_distances (m),heights (m),longitude,latitude
0,0.0,6.668389328874179,10931.13852124693,1278.0,-90.74708333333334,79.51680555555555
1,0.1,6.694220643417726,10931.173987993838,1283.0,-90.74625,79.51680555555555
2,0.2,9.092636936524363,2736.777408866504,438.0,-90.74708333333334,79.44319444444444
3,0.30000000000000004,10.169862608498034,2118.3437820580207,380.0,-90.74708333333334,79.43763888888888
4,0.4,10.160013062366477,2025.5793077670328,363.0,-90.74708333333334,79.43680555555555
5,0.5,10.074728161637298,1468.998276765681,261.0,-90.74708333333334,79.43180555555556
6,0.6000000000000001,9.856575973145604,1283.4749224716436,223.0,-90.74708333333334,79.43013888888889
7,0.7000000000000001,10.015838539396674,2242.2029436451894,396.0,-90.74625,79.43875
8,0.8,10.104256714672152,2025.7706970826089,361.0,-90.74625,79.43680555555555
9,0.9,10.019959621777467,1963.933856017631,347.0,-90.74625,79.43625
10,1.0,10.042676455457075,1716.5919700347251,304.0,-90.74625,79.43402777777777
11,1.1,9.93455461479102,1592.9252071847122,279.0,-90.74625,79.43291666666667
12,1.2000000000000002,10.050115754935291,2149.761043671184,381.0,-90.74541666666667,79.43791666666667
13,1.3,10.048992432099395,2087.9326802618575,370.0,-90.74541666666667,79.43736111111112
14,1.4000000000000001,9.961652608128643,1964.2789908740465,345.0,-90.74541666666667,79.43625
15,1.5,9.92999922948749,1747.8970201012605,306.0,-90.74541666666667,79.43430555555555
16,1.6,9.975689698678737,1716.98682428392,302.0,-90.74541666666667,79.43402777777777
17,1.7000000000000002,9.981896673806265,2119.303581017718,373.0,-90.74458333333334,79.43763888888888
18,1.8,9.990642277216855,2026.58304088054,357.0,-90.74458333333334,79.43680555555555
19,1.9000000000000001,9.902615795094874,1964.7717667043005,343.0,-90.74458333333334,79.43625
20,2.0,9.803497896560138,2274.399470734414,393.0,-90.74375,79.43902777777778
21,2.1,9.870848114182225,2212.5967422137182,385.0,-90.74375,79.43847222222222
22,2.2,9.900490711613914,2119.897211620411,370.0,-90.74375,79.43763888888888
23,2.3000000000000003,9.877954503641584,2027.2038232269804,353.0,-90.74375,79.43680555555555
24,2.4000000000000004,9.814560355248764,1965.4120724570223,340.0,-90.74375,79.43625
25,2.5,9.762950041994936,1470.3820002540788,253.0,-90.74458333333334,79.43180555555556
26,2.6,9.818469422436417,2120.6275215675564,367.0,-90.74291666666667,79.43763888888888
27,2.7,9.783091449447003,2058.853115925872,355.0,-90.74291666666667,79.43708333333333
28,2.8000000000000003,9.792021532126572,2027.96751411354,350.0,-90.74291666666667,79.43680555555555
29,2.9000000000000004,9.705467626952924,1935.3177259196489,331.0,-90.74291666666667,79.43597222222222
30,3.0,9.653121876300855,1563.867238479474,266.0,-90.74375,79.43263888888889
31,3.1,9.65712599224626,2121.4943697063827,361.0,-90.74208333333333,79.43763888888888
32,3.2,9.663655367065804,1750.0552993672159,298.0,-90.74291666666667,79.43430555555555
33,3.3000000000000003,9.629632862055477,1998.0034951843427,339.0,-90.74208333333333,79.43652777777778
34,3.4000000000000004,9.58870271049353,1657.446813466061,280.0,-90.74291666666667,79.43347222222222
35,3.5,9.56179066898523,1626.5813242250028,274.0,-90.74291666666667,79.43319444444444
36,3.6,9.550363211681656,1812.8178081361068,305.0,-90.74208333333333,79.4348611111111
37,3.7,9.587618850892166,1781.9605585079796,301.0,-90.74208333333333,79.43458333333334
38,3.8000000000000003,9.562544845355905,1751.1056011301548,295.0,-90.74208333333333,79.43430555555555
39,3.9000000000000004,9.410600416398383,1689.4030655058443,280.0,-90.74208333333333,79.43375
40,4.0,9.385140663555438,2123.636985420272,351.0,-90.74041666666666,79.43763888888888
41,4.1000000000000005,9.387609283768782,1844.8315370545617,305.0,-90.74125,79.43513888888889
42,4.2,9.425037700718034,1783.1548125769766,296.0,-90.74125,79.43458333333334
43,4.3,9.396981665903594,1752.3208838131682,290.0,-90.74125,79.43430555555555
44,4.4,9.30308512940109,1721.4901224617809,282.0,-90.74125,79.43402777777777
45,4.5,9.318890779463661,1876.9632762666063,308.0,-90.74041666666666,79.43541666666667
46,4.6000000000000005,9.320630375544061,1846.1423107988596,303.0,-90.74041666666666,79.43513888888889
47,4.7,9.291674886339539,1815.3247892992638,297.0,-90.74041666666666,79.4348611111111
48,4.800000000000001,9.261695789930059,1784.510890195711,291.0,-90.74041666666666,79.43458333333334
49,4.9,9.294287914779227,1753.700804429997,287.0,-90.74041666666666,79.43430555555555
50,5.0,9.281158197202782,1909.2070674818187,312.0,-90.73958333333333,79.43569444444445
51,5.1000000000000005,9.282151918452236,1878.4061195961917,307.0,-90.73958333333333,79.43541666666667
52,5.2,9.283158764226252,1847.6092231326145,302.0,-90.73958333333333,79.43513888888889
53,5.300000000000001,9.187271428756771,1972.341671720929,319.0,-90.73875,79.43625
54,5.4,9.272919354544511,1941.5573281034322,317.0,-90.73875,79.43597222222222
55,5.5,9.302867509411623,1910.777437138551,313.0,-90.73875,79.43569444444445
56,5.6000000000000005,9.274408479793612,1880.0022175230715,307.0,-90.73875,79.43541666666667
57,5.7,9.244973261260203,1849.2319024827434,301.0,-90.73875,79.43513888888889
58,5.800000000000001,9.17964445860934,1974.0088236465529,319.0,-90.73791666666666,79.43625
59,5.9,9.293695989900142,1943.2508906828466,318.0,-90.73791666666666,79.43597222222222
60,6.0,9.323817833238325,1912.4982562358869,314.0,-90.73791666666666,79.43569444444445
61,6.1000000000000005,9.236276907695466,1881.7511800764746,306.0,-90.73791666666666,79.43541666666667
